NGEN,NO,ind,fitness,theta
1,0,"ORN1(x2, Positive(x1))","(0.447065543727917, 4)","[0.9790210900762553, 0.2438056606103398]"
1,1,"ORN1(ANDN(x2, x2), XOR1(x1, x1))","(0.44848024917682305, 7)","[1.6170171869615055, 0.7997373225865363, 1.9042349068718818]"
1,2,"ORN1(x2, x1)","(0.44855599726750334, 3)",[0.39928810891642996]
1,3,"ANDN(ANDN(x1, x1), XOR1(x1, x2))","(0.4486462055600836, 7)","[0.6250070777942527, 1.76953188081056, 1.566045366219871]"
1,4,"XNOR(x1, x2)","(0.4487491894081285, 3)",[1.96229251931635]
1,5,"ANDN(ANDN(x1, x1), XNOR(x2, x1))","(0.44886400018057987, 7)","[1.8614131990875593, 1.2820009332941975, 1.706015286349277]"
1,6,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(x2, x1))","(0.4488871833385131, 9)","[0.8982835064496486, 1.482554314799008, 1.3249180518122015, 0.273721146759595]"
1,7,"NOR1(XNOR(x1, x2), x1)","(0.4489267218418276, 5)","[0.9221129603286631, 1.053583909212807]"
1,8,"XNOR(NAND(x2, x1), ANDN(AND1(x2, x2), x1))","(0.4489873790958332, 9)","[0.075326535774624, 1.5238901737124755, 1.4509871969317316, 1.9602618780217622]"
1,9,"XNOR(x1, ANDN(NAND(x2, x2), XNOR(x1, x1)))","(0.4490441124738817, 9)","[1.8766918867538984, 1.7498847302889078, 2, 0.5471536876572453]"
1,10,"XNOR(NAND(x2, x1), ANDN(x2, x1))","(0.4491143477053444, 7)","[1.3912666874143218, 1.9004286190936406, 0.9337559777940874]"
1,11,"NAND(XNOR(x2, x1), x1)","(0.4491190851290022, 5)","[0.6093503480966953, 1.7132813557428448]"
1,12,"NAND(XNOR(x2, Negative(NOR1(x1, x1))), x1)","(0.44921404389897895, 8)","[0.26749713064329006, 1.0809651458223601, 0.7210112934698162, 1.5584176848474929]"
1,13,"NAND(XNOR(x1, x2), XOR1(x2, x2))","(0.44939295263157586, 7)","[0.5995121807499114, 1.3992027269847231, 0.9278682371914888]"
1,14,"NAND(x1, x2)","(0.44945087247603116, 3)",[1.5945714116081775]
1,15,"Positive(XOR1(x1, x2))","(0.4494784153036066, 4)","[0.18347132175650782, 1.5408978087987797]"
1,16,"XNOR(Negative(NOR1(Positive(x1), NOR1(x2, x1))), NOR1(x1, x2))","(0.44957791794287816, 11)","[0.7693904903503435, 0.6697498742023613, 1.6208503260245166, 0.5721321328314557, 1.6772817760525505, 0.6374185349731869]"
1,17,"NOR1(XNOR(x1, ANDN(x1, x2)), x1)","(0.44968444014154346, 7)","[0, 0.20493125394903822, 1.7673762038946155]"
1,18,"NAND(x1, AND1(x2, x1))","(0.4497418401576933, 5)","[1.775222026337518, 0.07621130292576583]"
1,19,"XNOR(XNOR(x2, x1), ANDN(x2, x1))","(0.4498265704831357, 7)","[0.7138512828192802, 0.852295008070743, 1.482804417360444]"
2,0,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ORN1(x2, x2), ORN1(x1, x1)), x1))","(0.44539686253847466, 15)","[1.1828568582970584, 0.8259453944982347, 1.999075972142857, 1.2432797222600982, 1.6358778684289228, 1.1239483827858563, 1.9925307582178828]"
2,1,"ORN1(x2, Positive(x1))","(0.447065543727917, 4)","[0.9790210900762553, 0.2438056606103398]"
2,2,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.44789393530088006, 9)","[0.6851598805292871, 1.0411717192006504, 0.6364000738797819, 1.5953140799860261]"
2,3,"ORN1(ANDN(x2, x2), XOR1(x1, x1))","(0.44848024917682305, 7)","[1.6170171869615055, 0.7997373225865363, 1.9042349068718818]"
2,4,"ORN1(x2, x1)","(0.44855599726750334, 3)",[0.39928810891642996]
2,5,"ANDN(ANDN(x1, x1), XOR1(x1, x2))","(0.4486462055600836, 7)","[0.6250070777942527, 1.76953188081056, 1.566045366219871]"
2,6,"ANDN(ANDN(x2, Positive(x2)), XOR1(x1, x2))","(0.4486994712657803, 8)","[0.4407876686129979, 1.156588156418859, 1.85080841692998, 0.5100936823282238]"
2,7,"XNOR(x1, x2)","(0.4487491894081285, 3)",[1.96229251931635]
2,8,"NAND(XNOR(x2, XOR1(AND1(x1, x1), XNOR(x1, x1))), x1)","(0.44884156295318617, 11)","[1.5848899734629112, 1.5760695613483178, 0.7072573950033996, 0.6685623959543794, 1.2160123595162502]"
2,9,"ANDN(ANDN(x1, x1), XNOR(x2, x1))","(0.44886400018057987, 7)","[1.8614131990875593, 1.2820009332941975, 1.706015286349277]"
2,10,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(x2, x1))","(0.4488871833385131, 9)","[0.8982835064496486, 1.482554314799008, 1.3249180518122015, 0.273721146759595]"
2,11,"NOR1(XNOR(x1, x2), x1)","(0.4489267218418276, 5)","[0.9221129603286631, 1.053583909212807]"
2,12,"XNOR(NAND(x2, x1), ANDN(AND1(x2, x2), x1))","(0.4489873790958332, 9)","[0.075326535774624, 1.5238901737124755, 1.4509871969317316, 1.9602618780217622]"
2,13,"NOR1(XNOR(XOR1(x2, x2), ORN1(x1, x2)), AND1(x2, x1))","(0.448998343329425, 11)","[1.6346698156880035, 0.8025080474049366, 1.967902402474632, 1.243161669238521, 1.4157885101623695]"
2,14,"ORN1(XNOR(NAND(x2, x1), ANDN(x2, x2)), Positive(x1))","(0.4490430304382124, 10)","[0.613741757517072, 0.07670058766104004, 1.3889984798890158, 0.1458716329631673, 0.4009860987103451]"
2,15,"XNOR(x1, ANDN(NAND(x2, x2), XNOR(x1, x1)))","(0.4490441124738817, 9)","[1.8766918867538984, 1.7498847302889078, 2, 0.5471536876572453]"
2,16,"ORN1(ANDN(Negative(Negative(x2)), x2), XOR1(x1, x1))","(0.44905172452139985, 9)","[0.1359415970667266, 0.6126438778115498, 0, 1.2398161978195357, 1.7930956380102556]"
2,17,"XNOR(NAND(x2, x1), ANDN(x2, x1))","(0.4491143477053444, 7)","[1.3912666874143218, 1.9004286190936406, 0.9337559777940874]"
2,18,"NAND(XNOR(x2, x1), x1)","(0.4491190851290022, 5)","[0.6093503480966953, 1.7132813557428448]"
2,19,"ORN1(Positive(Negative(x2)), XOR1(x1, x1))","(0.44912873443649853, 7)","[0.31444267701788853, 1.5890572390693447, 1.6413795276719934, 0.2886555660870618]"
3,0,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ORN1(x2, x2), ORN1(x1, x1)), x1))","(0.44539686253847466, 15)","[1.1828568582970584, 0.8259453944982347, 1.999075972142857, 1.2432797222600982, 1.6358778684289228, 1.1239483827858563, 1.9925307582178828]"
3,1,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, x2), x1)))","(0.4466917332745164, 11)","[0.1392168994979932, 0.1489620251760273, 1.8972331699306395, 1.7964899939996197, 1.2365286952398993]"
3,2,"ORN1(x2, Positive(x1))","(0.447065543727917, 4)","[0.9790210900762553, 0.2438056606103398]"
3,3,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.44789393530088006, 9)","[0.6851598805292871, 1.0411717192006504, 0.6364000738797819, 1.5953140799860261]"
3,4,"ORN1(ANDN(x2, x2), XOR1(x1, x1))","(0.44848024917682305, 7)","[1.6170171869615055, 0.7997373225865363, 1.9042349068718818]"
3,5,"Positive(ORN1(x2, x1))","(0.44854121184634593, 4)","[0.11808419324791175, 1.1415906307725665]"
3,6,"ORN1(x2, x1)","(0.44855599726750334, 3)",[0.39928810891642996]
3,7,"ANDN(ANDN(x1, x1), XOR1(x1, x2))","(0.4486462055600836, 7)","[0.6250070777942527, 1.76953188081056, 1.566045366219871]"
3,8,"ANDN(ANDN(x2, Positive(x2)), XOR1(x1, x2))","(0.4486994712657803, 8)","[0.4407876686129979, 1.156588156418859, 1.85080841692998, 0.5100936823282238]"
3,9,"XNOR(x1, x2)","(0.4487491894081285, 3)",[1.96229251931635]
3,10,"XOR1(x2, x1)","(0.4487990161555069, 3)",[1.208632810439531]
3,11,"NAND(XNOR(x2, XOR1(AND1(x1, x1), XNOR(x1, x1))), x1)","(0.44884156295318617, 11)","[1.5848899734629112, 1.5760695613483178, 0.7072573950033996, 0.6685623959543794, 1.2160123595162502]"
3,12,"ANDN(ANDN(x1, x1), XNOR(x2, x1))","(0.44886400018057987, 7)","[1.8614131990875593, 1.2820009332941975, 1.706015286349277]"
3,13,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(x2, x1))","(0.4488871833385131, 9)","[0.8982835064496486, 1.482554314799008, 1.3249180518122015, 0.273721146759595]"
3,14,"NOR1(XNOR(x1, x2), x1)","(0.4489267218418276, 5)","[0.9221129603286631, 1.053583909212807]"
3,15,"XNOR(NAND(x2, x1), ANDN(AND1(x2, x2), x1))","(0.4489873790958332, 9)","[0.075326535774624, 1.5238901737124755, 1.4509871969317316, 1.9602618780217622]"
3,16,"NOR1(XNOR(XOR1(x2, x2), ORN1(x1, x2)), AND1(x2, x1))","(0.448998343329425, 11)","[1.6346698156880035, 0.8025080474049366, 1.967902402474632, 1.243161669238521, 1.4157885101623695]"
3,17,"ORN1(XNOR(NAND(x2, x1), ANDN(x2, x2)), Positive(x1))","(0.4490430304382124, 10)","[0.613741757517072, 0.07670058766104004, 1.3889984798890158, 0.1458716329631673, 0.4009860987103451]"
3,18,"XNOR(x1, ANDN(NAND(x2, x2), XNOR(x1, x1)))","(0.4490441124738817, 9)","[1.8766918867538984, 1.7498847302889078, 2, 0.5471536876572453]"
3,19,"ORN1(ANDN(Negative(Negative(x2)), x2), XOR1(x1, x1))","(0.44905172452139985, 9)","[0.1359415970667266, 0.6126438778115498, 0, 1.2398161978195357, 1.7930956380102556]"
4,0,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.3967389958838916, 9)","[1.015997344966947, 0.7847176901725503, 0.40217693156120427, 0.12640235026264834]"
4,1,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ORN1(AND1(Positive(x2), x2), x2), ORN1(x1, x1)), x1))","(0.44439566561983196, 18)","[1.234836441355582, 0.423927516961889, 0.15561199431670492, 1.7531090794004374, 0.1696490420902863, 0.48842920302257076, 1.2424734601179643, 1.5628150759761101, 0.008302948679187017]"
4,2,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ORN1(x2, x2), ORN1(x1, x1)), x1))","(0.44539686253847466, 15)","[1.1828568582970584, 0.8259453944982347, 1.999075972142857, 1.2432797222600982, 1.6358778684289228, 1.1239483827858563, 1.9925307582178828]"
4,3,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(x2, ORN1(XOR1(x2, x1), x2)))","(0.4456536752719477, 13)","[2, 1.9374566351639562, 0.6629729099221704, 1.110821826712178, 0, 0.008995645185461143]"
4,4,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(Negative(x1), ORN1(x1, x1)), x1))","(0.446466325670141, 14)","[1.058656654046782, 1.3521505444956854, 1.049986260948354, 0.5429674710673571, 1.505492475983381, 1.3084670397067137, 1.8972210272459957]"
4,5,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, x2), x1)))","(0.4466917332745164, 11)","[0.1392168994979932, 0.1489620251760273, 1.8972331699306395, 1.7964899939996197, 1.2365286952398993]"
4,6,"ORN1(x2, Positive(x1))","(0.447065543727917, 4)","[0.9790210900762553, 0.2438056606103398]"
4,7,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.44789393530088006, 9)","[0.6851598805292871, 1.0411717192006504, 0.6364000738797819, 1.5953140799860261]"
4,8,"NOR1(NAND(x2, x2), NOR1(x1, x1))","(0.44808359494097405, 7)","[1.130718445440368, 2, 0.0964989364478418]"
4,9,"ORN1(ANDN(x2, x2), XOR1(x1, x1))","(0.44848024917682305, 7)","[1.6170171869615055, 0.7997373225865363, 1.9042349068718818]"
4,10,"Positive(ORN1(x2, x1))","(0.44854121184634593, 4)","[0.11808419324791175, 1.1415906307725665]"
4,11,"ORN1(x2, x1)","(0.44855599726750334, 3)",[0.39928810891642996]
4,12,"AND1(ORN1(x1, x2), ORN1(x1, x1))","(0.44858704498848584, 7)","[1.156770537468269, 0.0893579570660481, 1.5083056954160627]"
4,13,"ANDN(ANDN(x1, x1), XOR1(x1, x2))","(0.4486462055600836, 7)","[0.6250070777942527, 1.76953188081056, 1.566045366219871]"
4,14,"ANDN(ANDN(x2, Positive(x2)), XOR1(x1, x2))","(0.4486994712657803, 8)","[0.4407876686129979, 1.156588156418859, 1.85080841692998, 0.5100936823282238]"
4,15,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, NOR1(AND1(x2, x2), ORN1(x2, x1))), x1)))","(0.44872022583569615, 17)","[2, 0.4744916714724561, 0.4684164240952132, 1.830478906203885, 1.0057632082367771, 0.18429575237994722, 0.9598307725708405, 1.9090348403085078]"
4,16,"XNOR(x1, x2)","(0.4487491894081285, 3)",[1.96229251931635]
4,17,"XOR1(x1, x2)","(0.4487803716095442, 3)",[1.1356704108651452]
4,18,"XOR1(x2, x1)","(0.4487990161555069, 3)",[1.208632810439531]
4,19,"ORN1(NAND(x2, x1), x2)","(0.4488053168931622, 5)","[0.1599925311096848, 0.28600155419966855]"
5,0,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.3967389958838916, 9)","[1.015997344966947, 0.7847176901725503, 0.40217693156120427, 0.12640235026264834]"
5,1,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, x2)), AND1(x2, ORN1(XOR1(x2, x1), x2)))","(0.443325874572724, 15)","[2, 1.5485304613591997, 2, 1.9188542008373735, 1.3164000768216733, 1.0905855703917027, 0.27370233764544527]"
5,2,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ORN1(AND1(Positive(x2), x2), x2), ORN1(x1, x1)), x1))","(0.44439566561983196, 18)","[1.234836441355582, 0.423927516961889, 0.15561199431670492, 1.7531090794004374, 0.1696490420902863, 0.48842920302257076, 1.2424734601179643, 1.5628150759761101, 0.008302948679187017]"
5,3,"NOR1(NAND(x2, x2), NOR1(NOR1(x2, x1), x1))","(0.4450795489470114, 9)","[0.4524325024436968, 1.8931454500974454, 1.6953428463393165, 0.6771251228834785]"
5,4,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ORN1(x2, x2), ORN1(x1, x1)), x1))","(0.44539686253847466, 15)","[1.1828568582970584, 0.8259453944982347, 1.999075972142857, 1.2432797222600982, 1.6358778684289228, 1.1239483827858563, 1.9925307582178828]"
